review,rating,Sentiment
"I had the Samsung A600 for awhile which is absolute doo doo. You can read my review on it and detect my rage at the stupid thing. It finally died on me so I used this Nokia phone I bought in a garage sale for $1. I wonder y she sold it so cheap?... Bad: ===> I hate the menu. It takes forever to get to what you want because you have to scroll endlessly. Usually phones have numbered categories so u can simply press the # and get where you want to go. ===> It's a pain to put it on silent or vibrate. If you're in class and it rings, you have to turn it off immediately. There's no fast way to silence the damn thing. Always remember to put it on silent! I learned that the hard way. ===> It's so true about the case. It's a mission to get off and will break ur nails in the process. Also, you'll damage the case each time u try. For some reason the phone started giving me problems once I did succeed in opening it. ===> Buttons could be a bit bigger. Vibration could be stronger. Good: ===> Reception is not too shabby. I was using it in the elevator which is a remarkable feat considering my old phone would lose service by simply putting it in my pocket. ===> Compared to my old Samsung, this phone works quite well. The ring tones are loud enough to hear and the phone actually charges quickly and has great battery life. It doesn't heat up like a potatoe in the oven either during long phone convos. ===> Nice bright, large screen. ===> Cute ways to customize it. Scroll bar can be set to purple, pink, aqua, orange, etc. Overall: Okay phone. It serves its purpose but definitely pales in comparison to these new phones coming out from Sprint. Why get so so when you can get great?",3,Positive
"Due to a software issue between Nokia and Sprint this phone's text messaging capabilities don't work with Sprint's system and won't until a software patch comes out ""some time in the next few months"". You will have to spend at least 1 hour with Sprint's award winning customer service team to find someone who will admit this to you. The problem is that Nokia designed their phones so that incoming messages are retrieved quickly and then viewed ""offline"" the way most providers work. Sprint, however, likes to have people hook up to their server first and then stay connected, burning minutes while they check their inbox, compose a reply and wait for the Sprint server to respond so they can send it out. Innovation in money-making at its finest.",1,Positive
"This is a great, reliable phone. I also purchased this phone after my samsung A460 died. The menu is easily comprehendable and speed dialing is available for around 300 numbers. Voice dialing is also a nice feature, but it takes longer than speed dialing. The only thing that bothers me is the games...Nokia seems to have taken snake (1 and 2) off their phones. There is a skydiving game, bowling, and tennis (like pong). The ringers are very nice, and a feature is available to choose a different ringer for each person calling. However, ringtones are not available online to download to this phone. You're pretty much stuck with what you have. There are vibrating ringtones and regular (midi) polyphonic tones. All they need are covers in a reasonable price range...",5,Positive
"I love the phone and all, because I really did need one, but I didn't expect the price of the bill when I received one. Also, I've had my phone for a little over two months now and still have yet to receive my free accessories that were supposed to come with the phone. Every time I call the company, they keep telling me to wait a couple of weeks, and that I should be receiving it shortly. Other than that, I do love the phone and all that I am able to do with it; and I'm not just talking about making the phone calls! :)",3,Positive
"The phone has been great for every purpose it offers, except the day i bought it-i couldnt get the case off. You can take the case off to put your own pictures in the jaket which is super cool, but when i took it back to the store-an employee said they were meant to be hard to get off. Well, he could barely even get it off- he came close to snapping the casing in half. I was never able to get it off after that which isnt THAT big of a deal, but it got dirty under the clear casing and it looks really dirty now. MAKE SURE YOU CAN GET YOUR CASE ON AND OFF! Oh and you have to charge it ALL off the time.",4,Positive
"Hello, I have this phone and used it until I decided to buy a flip phone. I have had NO problems with the battery or new cases--it has a new fish case on it now and it stays as well as the original one. I have added ring tones, and music so it was all good for me--as a matter of fact I am willing to sell this phone, the home charger and the car charger for a great deal--email me--(...)",4,Positive
"Cool. Cheap. Color: 3 words that describe the Nokia 3588 perfectly. I mean, what more DO you want? This beauty's got classic, sleek looks that jerks you a little about a Nokia 3310's looks. The 3588 also has some amazing ringtones. And I own a cellphone shop, so I have the experience. I RATE THIS THE 5TH BEST PHONE THAT I'VE EVER COME ACROSS IN MY STORE. Do you need more prompting to buy this, pal? Well, then here it comes!: The Nokia 3599 includes an alarm clock, calendar, voice recorder, calculator and stopwatch . And trust me, its good value for money if you're on a tight budget. And oh, if you're thinking of getting this for a teenager, you've come to the right phone; they'll go crazy after its looks AND its color LCD (which happens to be a little oversize). If this phone's goin' for an adult, you've hit da soda pop again, you lucky person! NOW are ya convinced that this mobile's REAL! (it is).",5,Positive
"The 3599i is overall a nice phone, except that Nokia made its universal headset jack incompatible with most 2.5mm universal headsets (even their own). A phone call to tech support was required to find out that you need to buy a headset that plugs into the Pop-port accessory connector on the bottom of the phone. They ended up suggesting the HDB-5 headset.",4,Positive
"I've never owned a Nokia phone before, so this is a first for me. I really like the phone alot, the reception is great...even though the signal strength show's being low. The quality of the phone is great too, it feels sturdy and weighted. I highly recommend this phone.",5,Positive
ok well im in school and i need the text messaging and ive had this phone for about a month and text messaging was supposed to start working 2weeks ago.A conflict of software type stuff and btween nokia and sprint.(Its down to 4 stars) And the fact it cant download ringtones.(3stars)Or games(2 stars)But you cant beat a nearfree or free color phone(back to 3 stars) as soon as it gets text messaging it should b 4 stars.,3,Positive
"I've had this phone for over a year and I really like it. Having never been partial to flip phones, I can appreciate this Nokia's features. The color screen is very nice and all of the features are easy to use. The keylock is a simple two-button sequence though I do wish it had a timer for the keylock like my old phone. It has a lot of useful features, like a calculator, organizer, stopwatch and alarm, but the three games it has are too lame to play. The customizable features are nice, but lacking in variety. This isn't the ideal phone for a guy. You're few options are pretty girly. The ringtones also lack something to be desired, but there are a few decent ones. The battery life is pretty good, nothing special, but definitely not bad. It gets me through the average day without problems and sometimes lasts for several days. My parents, sisters, and husband all got fancy Samsung flip phones with cameras and all the toys, and I must say mine works better. The battery lasts MUCH longer and the recpetion is MUCH better. The downside to this cute phone is the case. It's made of very weak plastic that cracked in a few months. Also, if you're thinking about getting a different case for it, DON'T! Once you take it off, it will keep slipping off. It never attaches firmly again, and neither does the new case you bought. I've read this in other reviews too. Because of this, the last time I dropped it the back piece popped off and the battery flew out. Now my phone has issues. Drat. Overall, it's a great phone, if you're content with the simpler things in life. Who really uses the camera on thier phone anyway? I just reccommend buying a protective case for it and leaving it on and don't drop the delicate thing.",4,Positive
"1.) Slow - If you want to check your missed calls list, this phone feels compelled to inform you whether or not there are any new calls in the list...it does this for about 20 seconds. Of course, it will take you half a second to read the message...and you probably don't care about what it says. 2.) Annoying - Ever had anyone scream in your ear? That's a sensation I get from this phone on a regular basis. It has the nice ability to attach a voice tag to a phone number...a useful feature...when it works. About 80% of the time, it recognizes the number I ask for, the other 20% it lets me know that it doesn't understand...by screeching (next to my head). Want to know what that feels like with your phone? Turn the ringer up to the highest setting, hold the phone next to your ear, call your phone. Not pleasant. Add to this the fact that when you're searching one of the numerous menus on the phone (menus that have at least 5 items in them), the menu system uses up a whole screen to display one line of text. It has three lines available to it...but it uses one. What's next? What did you just pass? Go back and look, can't find out another way! 3.) Fragile - My phone is cracked. Why you ask? Because I took off the battery cover. Why did you take off the battery cover you ask? Because I wanted to write this review and that was the only way to find out the model number. 4.) Heavy - Speaks for itself...the phone weighs way too much. 5.) Bulky - Again, like heavy, speaks for itself. My recommendation: buy a better phone. This one will only make you cry at night.",1,Positive
"I bought this phone about a year ago and have been using it ever since, on the Sprint PCS network, to replace an old TP2100. The first time I bought it, the phone was defective, so I had to get it replaced after a few days. I liked the phone okay at first, but I really wish I can go back in time and buy a better phone. Several issues: *mediocre reception. *rather bulky and unattractive. *cheap feel, cheaply made, cheap materials. *screen not easily visible in bright sunlight. *battery life marginal. I will go into a little detail about a few things. I get okay reception on this phone. It is NOT GOOD reception. The phone will work in areas where there is a good signal, but in areas with a marginal signal, such as my apartment, the phone will drop calls left and right, and fade in and out about 5 seconds of every minute (this is outside, so interference from the building is not the cause). In my residence, I use my husband's Sanyo, as it gets an excellent signal, and doesn't drop nearly as many calls. I have had Sprint check out the phone, and they say it is working correctly. I can only assume it is the poor quality of the phone that is to blame. The phone is quite big for what I would expect from a modern phone, with no camera. In a small purse, it takes up a lot of room. What is more important is that the phone is cheaply made, and has a cheap feel to it. It's made out of rather flimsy plastic. I dropped the phone once onto concrete from about 3 feet up, and the antenna head got a crack in it and a corner of the phone got serious scratches. Also, the screen can be difficult to read in bright sunlight, but it's quite bright otherwise. As far as battery life goes, it's not that great. I've gone to bed with the battery half full and have woken up to a dead phone. I believe the poor reception in my immediate area is to blame, as the phone searches for a signal and that takes battery time. Talk time is decent. Pros: *LOUD ringer *lots of features, but I rarely use them.",2,Negative
This is an excellent choice for Sprint to use when enrolling new customers for service. It is the free option for most new customers and it has been excellent after a year of ownership. I love how it lights up when someone is calling which helps to really find the phone quickly when you are in the dark. If you have the phone in a purse it really makes it easy to find due to this fact. The Nokia phone seems to be tougher to me than the Samsung phones at the Sprint store also. So my only issue with the phone is the fact that since it is not a flip phone the keypad must be locked before I drop the phone in my pants pocket. This can be annoying if you get used to owning a flip phone before moving to the Nokia.,4,Positive
DON'T BUY OUT OF SERVICE,1,Neutral
I have been with nextel for nearly a year now I started out this time last year with the Motorola i205 and just upgraded to the i265 it is one of the best phones I have ever had the service is the best I have ever had I have no problems making or reciving calls. If you are considering nextel give it a shot they are in my opinion the best cell company out there.,4,Positive
"I just got it and have to say its easy to use, i can hear the person talking just fine and i have had no problems dealing with nextel.",5,Positive
1 star because the phones locked so I have to pay additional fees to unlock it,1,Neutral
The product has been very good. I had used this cell phone in one of my projects and it worked wonders. I will definitely recommend this to anyone interested in buying it....,5,Positive
"My problems with nextel did not stop when I canceled my service. I will get to the problems with the service. When I went to get a new phone a day before my contract expired, I of course wanted to keep my number. So as I went to get my Cingular phone (highly recommended), I had the old number switched to my new number. Today, I get in the mail my nextel statement for the month with a $200 early termination even though I had not canceled my service, but had simply got a new phone and switched my number over. This was on icing on the cake after 2 years of absolutely amazingy bad service from nextel. In my town, not a small town by any means, there are very few places that have any service. In the largest subdivision, you cannot get service anywhere. I constantly get comments from people trying to reach me that get the classic nextel line...Please hold while the nextel subscriber you are trying to reach is located. Most of the time I would not even recieve incoming calls, calls would go straight to my voice mail. Not only would I not get the calls, but often I would not even get the voice mails until days or even weeks later. When I did actually take calls (and call out), I cannot count the number of times I've had my call dropped. I recieved so many different error messages sometimes I wonder if they just spend all their time at nextel thinking of different error messages to program into their phones. That brings me to the selling point of nextel, the famed and well-loved direct connect feature. This is an absolute joke. Direct connect only works MAYBE half the time I tried to use it. Even then, in the middle of the conversation I would be greeted by the loud beep of my phone telling me I wont be talking to that person anymore. Of course, I would expect nothing less from the nextel network. Text messaging with nextel is next to impossible. If it did not take hours to send or recieve a message, it took days, or maybe didn't even come at all. The internet access was fine, it the rare instance that it worked. Of course, when you don't have service, you don't get the internet access either. I was constantly getting the message ""network not available"". Calling and trying to complain to nextel is futile. Trying to get through to customer service takes forever and once you get through they do nothing. My experience with nextel has been nothing short of a disaster and I write this trying to warn anyone considering nextel. Stick with Verizon or Cingular and you will be much happier in the end. Don't make the same mistake I did.",1,Negative
GREAT PRODUCT THAT IS AS GREAT FOR NEXTEL AS IT IS FOR BOOST INSERT YOUR SIM & GO!,5,Positive
"I bought this phone to replace an LG phone that I didn't like. As I expected, all I had to do was put the old SIM card in the new phone and it worked. There are two serious drawbacks to this device, both related to the candy bar style. First, all the buttons are exposed, so it's easy to hit one accidentally. Second, the screen is easily scratched. This one got scratched making it difficult to read in sunlight. Aside from those two flaws, the phone works great. Connectivity, battery life, and quality of voice are superb. Since I don't do texting I can't comment on that. It is nice and small, and if it came with a case, or if I could find a case for it, then it would be perfect for my needs. The price was right. Now I have a new SIM card with $10 worth of calling on it that I don't need.",4,Positive
"I purchased this phone for my AT&T phone replacement, even though one of the FAQ mentioned it works with AT&T SIM, in my case, it didn't. Since this is my primary phone, in stead of spending time to see the reason, I'll go with other phone, which specifically says it's ""unlocked"".",1,Neutral
The phone did not come with a charger and didn't have a sims card.,1,Neutral
SERVED ME WELL AS A BACK UP PHONE.,5,Neutral
I got this phone just as secondary cell phone. It is really lightweight and very cheap. The receiption is good. But most of the time a windy noise is heard when somebody is calling to this cell phone.,3,Neutral
Sturdy - clarity is great - easy to use Only problem - no Speaker option...... Big issue for me but im living with it atm.,4,Neutral
Phone stoped working,1,Neutral
It does a beautiful job. I have used this item with my att account. its good to see my bill so little and avoided big amount of bills..i would recommend this product to any body. Very good quality it really met my expectations,5,Positive
way too small,3,Neutral
"I asked my friend to toss me my phone, but what he heard was ""Hey, throw that phone as hard as you can at my head"", so he did. Hit me square in the temple and I dropped. Needless to say this is a very sturdy phone, very simple and easy to use, long battery life (Like really long, like Stretch Armstrong long), takes being dropped and smacked around like a champ. If this phone was my son, i'd be proud, and afraid. The texting takes a little to get used to, but I digress. Smart Phones are for dummies. P.S you can create your own ringtones on this phone, provides way more entertainment than Flappy Bird.",1,Positive
"We never use cell phones, but thought we needed one for a long road trip. With our last phone we were always irritated that the battery seemed to be dead every time we tried to use it. Based on reviews, we chose this phone. Battery life is great! And the phone really does handle abuse very well. My husband forgot it was in his shirt pocket. The phone went through the washer and dryer and still works as well as ever!! I'm not sure how it would work as an everyday phone, but for those who only need it occasionally I would highly recommend. It will be there, charged and ready when you need it.",5,Negative
"I have had this model phone for 4-1/2 years and only now the battery is beginning to fail. FANTASTIC little phone that doesn't drop calls, can stick in a pocket or purse easily, does exactly what it is supposed to do at an unbeatable price. Refill for $100 and get a bonus $5.",5,Positive
"Easy to use features, slim in size at a very good price. It is better compare to my exsiting T-Mobile prepaid phone. I called from a landline to both phones and the at& t picked up within 13 seconds while the T-Mobile at 25 sec or most of the time, just jumped to my voice mail only. I highly recommend at&t.",5,Positive
"This phone is great. Simple to use, great battery life, always has a strong signal and AT&T has a great pay-as-you go plan. I'm happy.",5,Positive
It is just a basic phone and is an effective phone for people who do not need a lot of features. The size is good.,4,Positive
"this is a good little inexpensive phone - basic, but that's what I wanted! Just a phone for my pay as you go plan!",4,Neutral
"I almost never write reviews for anything, but this stupid little cheap phone has proven so reliable and indestructible that I just had to say something. I bought this phone at least 3 (maybe 4) years ago, after two ""fancy"" (expensive) flip phones each lasted less than a year before falling apart. My goal was not to buy a phone that would last 4 years (I didn't expect any phone would) and certainly was not to buy a $20 phone that would last 4 years. My goal was just not to spend $150 on another phone. I hoped it might last 6 months, until I decided what to do next (change service providers, get a new contract with a free phone, etc.) To my surprise, this little brick of a phone just keeps going. It has not been treated lightly (I recently opened up the back to find the serial #, and found it full of dirt & dust). It has crashed with me skiing, been splashed with salt water while sailing, and been drenched in sweat while in my bike jersey. Still, it works. Complaints: I dearly wish it had a camera, even a crappy one. Sometimes the exposed buttons get pressed accidentally. It has no fancy features. But I'm going to buy another one-- just in case this one ever quits. UPDATE 1/1/12: This phone is still going. 5+ years now. I bought this phone when the first-generation iPhone came out. Four generations of iPhone later, I still don't have one, because this phone has refused to die. Incredible.",5,Negative
"I have had the C168i for two years as a replacement for a different phone I broke. Note that it is a ""goPhone"" but you can use any monthly ATT service with it just by putting your SIM card in. My friends make fun of me for my boring looking phone, but they have since gone through 4-5 $150-200 phones while my $20 ""crap"" phone is still going and going... This phone is perfect for someone who doesn't need a camera, videos, bell and whistles stuff, but wants a sturdy reliable phone with a long battery life. It is also very inexpensive. Also, I attest to the main review that this phone is a ""TERMINATOR"" phone, meaning it is EXTREMELY resistant to almost all forms of physical harm. I have never tried soaking it in water, but I have dropped it, thrown it, scraped it, kicked it etc. and the screen and battery are still perfectly functional. Great battery life as well. My battery has NEVER run out on me. EVER! And I am super-negligent when it comes to charging it. Of course, the phone really only has normal calling and basic texting. The only complaint I would make is that entering new contacts into the address book is somewhat difficult and counter-intuitive until you learn how to do it. You won't regret buying this phone.",5,Positive
"I've been using this phone for about three weeks, now, and it truly is a nice little phone. It's small, light, and the keypad and screen really light up...you can actually see the screen in very bright sunlight! It does everything I want a phone to do. The graphics on the web are really very good, although accessing the web is rather slow. The keypad IS quite small, and this could be a problem for most men, but it's perfect for me. The only negative is that it doesn't have speaker phone capability. The battery life is, as the others have said, amazing! As for the person whose wife's phone was dead, it probably was jostled in her purse and was inadvertently turned on. I prefer bar phones to any other kind (not sure why), and one of the first things I learned was to lock the keypad whenever I put it in my purse, in my pocket, or any other place where it would be possible for the phone to be accidentally turned on. It's a simple matter of pushing two keys to turn on the lock or to shut it off, and sure saves a lot of battery life.",4,Positive
"Well, my phone that came with my service plan is.. well.. its now a paper weight (darn razrs!!) I didnt want to spend another 100+ on a phone that wil just break, then i stumbled upon these gophones, they are from 19.99-99.99 at best buy and work perfectly with my AT&T monthly subscription SIM card, so its just a crazy cheap phone. The battery life is AMAZING, its rated 9 hours, when i first bought it i opened it in the store and turned it on, it had 1 bar. It wasnt for another 3 hours untill i got home to charge it, and it still had the same 1 bar of battery life. I also talked a good 25 minutes too. VERY durable, i love the battery back, its not one of those slide ones (like some Sony phones), and its not one where you just push a button (like the RAZR). its a combination, you press the butten and then slide, it works REALLY WELL so there is very little chance you will break/lose the cover. came preloaded with 3 games for me, this cool space invader style game, a soccer game, and this weird mole game that is my personal favorite. Came with a TON of actually decent tones you can set as your ringtone.. unlike the RAZR which came with a horrid selection. it also came with an unactivated brand new sim card. so if your like me and you just bought this phone so you can put your old sim card into it, you will get a bonus sim card that you can sell on craigslist for like 10-15 dollars, seeing that it came with one of the new 3G cards. my only real complaint is that the keypad is really cramped, but its still easily usable, but you still get the feeling that its cramped, and my phone only came with 3 preloaded images to set as my wallpaper, and at times the call quality is a little shakey, but it rarely happens and when it does it goes away very fast... but for 30 dollars! thats a fraction of a price than the cheapest upgrade service plan phone. ---- I really doubt anybody will actually read this edit, but it is definitely worth a mention. I have had this phone since august (its Feb. 11). I hope dropped it countless times, this phone WILL NOT BREAK. Seriously, I've tried. I take horible care of this phone. I wanted to test its durability (and show off to my friends that my 20 dollar phone is more durable than your 5,000,000,000 dollar one) As demonstrations I've thrown it at trees, walls, concrete sidewalk, I've thrown it in the snow... hell I've even tossed it on the concrete and invited my friends to join me in a game of soccer with it. No joke. I didn't just do this once, but several, several times. The worst that has happened to it is the battery-cover snapped off and the battery fell out, all I had to do was put the battery back in, snap on the cover and turn the phone on. After about 4 months of treating it like that I did the same thing, actually just today (Feb. 11th). I chucked it at the concrete ground, the battery/battery cover flew off (as usual) but to my surprise when I turned it on I had a small black bar through the screen, but even more surprising is that it still works perfectly, everything does. It amazes me how poorly I've taken care of this phone, if I had done even 1/16th of the things I did to this phone to my old RAZR I can assure you it would have snapped in half or something. I highly recommend this phone. I'm going to buy another one soon, heck I might even pick up 2 one for an emergency replacement.",4,Positive
"I got this phone based on a recommendation from AT&T :( silly me. I wanted a back up phone my wife could use in case her other phone failed to turn on (also a motorola different model almost 5x price). They recommend this phone because of it's low cost and it's a go phone so you only pay for minutes you use. I bought the phone and loved it. It was very low cost, came with airtime. It feels very solid, except for the battery cover which seems flimsy but seems to hold up with no problems. It had what I felt as good sound quality and a good number of features for such a low cost phone. I wanted to prep the battery since my wife was going to travel soon, so I left it powered on and would constantly press a button so the light would stay on and drain the battery. The display is amazingly bright, I could almost use it as a flashlight. I was also really surprised at the battery life. Anyhow after two cycles of draining the battery and then charging it to full, I figured it would be all set to use as an emergency phone for my wife who was going on a two week business trip. Wrong :( on the last day of her trip her main cell phone battery was low so she decided to try to use the back up phone. It wouldn't turn on :( I don't know if it was due to the xray machines at the airports or what but the battery was drained. She said she never turned it on at all until that day so maybe it got turned on accidently in her purse (phone turns on by pressing a button on the front for 4 or 5 seconds). Anyhow to make matters worse the AT&T rep also said I could also use it as a main phone by transfering the SIM. Nope didn't work either, I was on the older AT&T plan so I had to be migrated. Atleast the phone didn't cost too much. I figure I can still keep it as an emergency 911 phone too (Go phone minutes expire :( which the AT&T rep didn't tell me about). And it does look pretty good as a paper weight.",3,Neutral
"I needed a temporary phone for a friend in a retirement home until he got settled in his new place. I charged it up and it ran for several days on its own. He would have preferred a larger key pad due to his poor eyesight, but he seemed to do okay with it, and it was simple enough for him to be able to use it to simply make or receive calls (I didn't get into the answering system with him!). Now that he has moved and has his landline installed, I am giving it to a friend who has no cell phone, and cannot afford the price of a regular one. This will be just right for her limited calls when she is on the road. So.... two for the price of one!!",4,Positive
"This phone isn't kidding when it says military specs. I had a hole in my pocket and it went tumbling down a flight of concrete steps (20 steps). It had a few scratches but it worked fine. It also made a few other death - defying leaps. It is VERY drop resistant. That being said, it is not crush proof. It's battery was just about dead so I decided to leave it in the car to charge. I plugged it into the car charger, grabbed my purse, and got out of the car. Unbeknownst to me, the charger cord was tangled around my purse. I stood up and closed the car door - right on this phone. That left a BIG mark - that finally did it in (If it still worked, I would have had the world's first boomerang phone - it looked just like a boomerang afterwards). I just ordered a new one. As much as I beat up my last phone and as well as it fared, I had to get another one. My only pet peeve with this phone is they could have at least given me ONE full game - not the lame demos that are included with it. The phone itself is about the size of a Hershey bar. I often keep it in my pants pocket (the front pocket).",4,Negative
I bought this phone and found out IDEN phones with sim cards are no longer eligible for service with Boost Mobile. So buyer be ware dont buy these unless you already have service with a sim card.,1,Neutral
i wont ( enter special code ),5,Neutral
my mother said that she loves Walkie Talkie Phones so what i did was i bought this for my mother Denise Avellan for mothers day of 2014 and my mother loves it. what a great Direct Connect Connection!!!!!!,5,Positive
Bought this phone only to be told it would no longer work on network. Waste of money and seller knew they would not work and did not say anything.,1,Negative
For the price you really get a solid boost motorola phone. Sounds and looks good.,5,Positive
"PHONE DID NOT COME WITH A SIM CARD....INFORMATION I WOULD'VE LIKED TO HAVE..... PHONE WORKS FINE, BUT BECAUSE PTT (WALKIE) IS BEING PHASED-OUT ON BOOST, NO SIM. RATING IS FOR PHONE, BUT VERY UNHAPPY NOT TO HAVE ALL THE FACTS PRIOR TO PURCHASE.",4,Neutral
"This is not a ""boost"" phone and will not work as a GPS with Boost. Had to send it back. A huge pain for something that is $24. This is a rip-off.",1,Neutral
good phone works well. very simple to use.dropped a few times and still works fine.,5,Positive
"You get the basic functions for what a cell phone is needed for, in other words this phone is simple and effective.",5,Neutral
Wouldn't know anything about the cell phone I ordered because the person hasn't even shipped it yet. It's been a month! And amazon has does nothing to help and really has nothing for an option to provide assistance.,1,Neutral
"For someone needing a very basic phone and services (i.e., no email access, no camera, etc.) this phone is quite good. The sound quality on both the built in speaker and mic and the speaker phone are very good, the phone itself is very portable and it has buttons one does not have to be a midget to operate. On the negative side (and why I give it 4 instead of 5 stars), it has a relatively small battery for its size, as anyone who has opened but back to install can attest. Hence the battery power for such a basic phone is not on a par with other ""basic"" phones, though not by much. A second critique is the very small screen which is, in addition, not very well lit. It can be a problem viewing, even in the shade. A third problem is that the interface for some of the features (i.e., voice recorder, contact list) is not as easy as it should be. Thanks to the small screen, one needs to scroll quite a bit to access some of the phone's features. One last critique is that the messaging service is quite slow. Hence if you need to use such a feature this phone is far from optimal. All and all a very good phone despite the weaknesses cited above. If someone is looking for a barebones phone this is more than fulfills the requirements.",4,Positive
